medcodeid,term
3645131000006116,Pfeiffer-type acrocephalosyndactyly
12020791000006113,"Microcephalus, cerebellar hypoplasia, cardiac conduction defect syndrome"
3640971000006113,Partial deletion of short arm of chromosome 5 syndrome
7785901000006115,Microcephalus with brachydactyly and kyphoscoliosis syndrome
1798581000000119,Chromosome 22q11 deletion syndrome
378497014,Partial trisomy 18 in Edward's syndrome
119579013,Disintegrative psychosis
401910019,[X]Other childhood disintegrative disorder
3852211000006119,VCF-Velocardiofacial syndrome
5339981000006117,Partial trisomy 13 in Patau syndrome
1224879014,Trisomy 18 NOS
3474211000006117,MPSIIIB - Mucopolysaccharidosis type IIIB
5031301000006110,Laurence-Moon syndrome
2694981000006119,Infantile Gaucher's disease
5339921000006116,Partial trisomy 21 in Down syndrome
2752101000006119,Mucopolysaccharidosis type IIID
121311016,10q partial trisomy syndrome
2594641000006112,Juvenile Gaucher's disease
12016901000006114,Mosaic trisomy 12
2114791000000110,Kleefstra syndrome
1009651000006114,Cause of learning disabilities: Rett syndrome
12016851000006116,Trisomy 10 mosaicism
8334111000006118,Down syndrome weight centile
3562131000006110,MPS 1-H - Mucopolysaccharidosis type I-H
3729481000006119,"Mucopolysaccharidosis, MPS-I"
4759831000006117,Gaucher syndrome
12024681000006113,Non-distal trisomy 9q
3161041000006119,Down syndrome
3678671000006119,"Niemann-Pick disease, type C, chronic form"
3670621000006118,CDD - Childhood disintegrative disorder
12024531000006113,Trisomy 9 mosaicism
696691000006117,Mucopolysaccharidosis type II
88311000006113,Trisomy 18 - mitotic nondisjunction mosaicism
128696013,Trisomy 9p syndrome
12020961000006119,Proximal 18q deletion syndrome
2695021000006118,Infantile cerebral Gaucher's disease
4830941000006112,Trisomy 21- meiotic nondisjunction
7785871000006115,Microcephalus with albinism and digital anomaly syndrome
2695001000006111,Acute cerebral Gaucher's disease
3616571000006113,RTS - Rett syndrome
12450231000006113,Velocardiofacial syndrome
7785961000006119,Microcephalus cardiomyopathy syndrome
3750051000006112,Angelman syndrome
940371000006118,Fragile X syndrome
230471000006112,Pfeiffer's disease
2508311000006110,FRAXA - Fragile X syndrome
2594631000006119,Subacute neuronopathic Gaucher's disease
88271000006113,"Trisomy 13, translocation"
747231000006115,Lesch - Nyhan syndrome
2566611000006115,Long arm 18 deletion syndrome
18114013,Lesch-Nyhan syndrome
110901011,Acrodysostosis
12024671000006110,Non-telomeric trisomy 13q
696701000006117,Mucopolysaccharidosis type III
314773013,Acrocephalosyndactyly type V
388761000006114,[X]Heller's syndrome
3170011000006115,Mucopolysaccharidosis III-A
3345511000006110,"Niemann-Pick disease, acute neurovisceral form"
3510541000006111,Adult Gaucher disease
4194991000006113,Amaurotic familial idiocy
3811871000006110,Aicardi's syndrome
300046019,Mucopolysaccharidosis cardiomyopathy
88321000006117,"Trisomy 18, translocation"
12024701000006111,Non-telomeric trisomy 9q
7650221000006111,Periodontitis associated with Cohen syndrome
2920656014,Myeloid leukaemia associated with Down Syndrome
7806001000006110,Cardiocranial syndrome Pfeiffer type
2090010,Fragile X syndrome
12020971000006114,Proximal chromosome 18q deletion syndrome
315390010,Trisomy 7
2920381015,Myeloid leukemia associated with Down Syndrome
12010281000006114,"Microcephalus, complex motor and sensory axonal neuropathy syndrome"
88371000006116,Trisomy 21- mitotic nondisjunction mosaicism
3101881000006116,Prader-Willi syndrome AND diabetes
3440851000006110,Bird-headed dwarf of Seckel
2594661000006111,"Gaucher's disease, type III"
3689801000006112,Mucopolysaccharidosis type II severe form
600811000006111,Cri du chat syndrome
400910012,Acrocephalosyndactyly
7955171000006113,Dementia co-occurrent and due to Down syndrome
12759421000006112,FXTAS - Fragile X associated tremor ataxia syndrome
7786111000006113,Microcephalus cleft palate syndrome
7959581000006119,Summitt's acrocephalosyndactyly
2815521000006118,Sturge-Weber disease
2695041000006113,Acute neuronopathic Gaucher disease
5339971000006115,Trisomy 13 - translocation
3645141000006114,Acrocephalosyndactyly type 5
3562061000006117,"Mucopolysaccharidosis, MPS-I-H"
345281011,Lennox-Gastaut syndrome
1234503010,Aicardi syndrome
7881451000006111,PPT (Pfeiffer Palm Teller) syndrome
3510491000006118,Chronic non-neuropathic Gaucher's disease
3345501000006112,Classical Niemann-Pick disease
53891000006113,Wolff - Hirschorn syndrome
4829191000006112,Acrocephalosyndactyly type I
296991018,Cerebral degeneration in Niemann-Pick disease
2815491000006115,Sturge-Weber sequence
12024651000006117,Non-distal trisomy 13q
3666201000006115,Complete trisomy 22 syndrome
158401000006118,Rubenstein - Tayi syndrome
8333381000006113,Fragile X linkage genetic test
6686781000006110,Aplasia cutis in Johanson-Blizzard syndrome
2900005013,Fragile X associated tremor ataxia syndrome
107661000006110,Tay-Sach's disease
5007601000006115,Cryptogenic Lennox-Gastaut syndrome
7732141000006118,Camero Lituania Cohen syndrome
5116731000006114,Pseudo-Zellweger syndrome
137830014,Shprintzen syndrome
6686691000006118,Aplasia cutis in Trisomy 13 syndrome
88251000006115,"Trisomy 13, mitotic nondisjunction"
1922491000006113,Down syndrome body mass index centile
12018931000006119,Trisomy 15 mosaicism
3510521000006116,Noncerebral juvenile Gaucher's disease
7963321000006119,Isolated congenital megalocornea
698811000006110,Menkes syndrome
3735351000006115,Sotos' syndrome
3169871000006119,"Mucopolysaccharidosis, MPS-III-A"
3729521000006119,Mucopolysaccharidosis type I
4194961000006117,Tay-Sachs disease
127638013,Angelman syndrome
4611091000006111,Trisomy 21 in amniotic foetal cell
12017701000006113,Distal trisomy 22q11.2
12018921000006117,Mosaic trisomy 15 syndrome
3650491000006117,MPS 2 - Mucopolysaccharidosis 2
33473011,Sturge-Weber syndrome
