medcodeid,term,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
8363081000006118,Neale Analysis of Reading Ability - Revised Edition score,^ESCTNE836308,,981381000000106,2495801000000110,,31
5231401000006112,Near reading technique,^ESCTNE523140,,246504005,368249010,,31
3356501000006118,Reading disorder,^ESCTRE335650,,52824009,87897014,,31
295627019,Specific reading disorder,E2F0,E2F0.00,192136006,295627019,,32
7601061000006114,Reading assistive device,^ESCTRE760106,,705379004,3024020010,,31
7785021000006114,Assessment using National Adult Reading Test,^ESCTAS778502,,719314001,3315956015,,31
7793271000006119,New Salford Sentence Reading Test score,^ESCTNE779327,,719941003,3318537015,,31
6667061000006116,In situ superficial spreading malignant melanoma,^ESCTIN666706,,402556000,1787588019,,31
12117501000006111,RDLS (Reynell Developmental Language Scales) III: University of Reading Edition Expressive Scale score,^ESCT1211750,,1099271000000107,2752071000000117,,31
5557501000006113,Vernon Cloze procedure reading test,^ESCTVE555750,,273891001,409572011,,31
7771901000006114,Standard Reading Tests score,^ESCTST777190,,718412009,3312206011,,31
5548511000006110,British ability scales reading test,^ESCTBR554851,,273337008,408682014,,31
8363321000006119,GSRT (Gray Silent Reading Tests),^ESCTGS836332,,981871000000100,2497151000000113,,31
7768361000006112,NART (National Adult Reading Test) score,^ESCTNA776836,,718153007,3311316015,,31
7781951000006119,Assessment using New Salford Sentence Reading Test,^ESCTAS778195,,719121007,3315082010,,31
5555801000006116,Salford reading test,^ESCTSA555580,,273779000,409396017,,31
5390561000006118,Moorfields reading book test,^ESCTMO539056,,258053000,384086015,,31
4721801000006113,Finger-reading training,^ESCTFI472180,,183282001,283307014,,32
5706401000006118,Bar reading exercises,^ESCTBA570640,,285788002,424929018,,31
5995381000006118,Speech-reading training service,^ESCTSP599538,,310018006,453556019,,31
3470701000006119,Specific reading difficulty,^ESCTSP347070,,59770006,498538013,,32
710151000006112,Finger reading training,8E32,8E32.00,183282001,283307014,,32
295628012,Reading disorder unspecified,E2F00,E2F0000,192136006,295627019,,32
