"MedCodeID","Term","QOFClusterID","QOFClusterDesc","QOFSnomedCTConceptId","SnomedCTDescriptionId","QOFUnmatchedCodeDescription"
,,"CAN_COD","Codes for relevant malignancies","94458003",,"Secondary malignant neoplasm of tonsil"
,,"CAN_COD","Codes for relevant malignancies","94457008",,"Secondary malignant neoplasm of palatine bone"
,,"CAN_COD","Codes for relevant malignancies","94456004",,"Secondary malignant neoplasm of palate"
,,"CAN_COD","Codes for relevant malignancies","94218003",,"Secondary malignant neoplasm of bone of face"
,,"CAN_COD","Codes for relevant malignancies","94219006",,"Secondary malignant neoplasm of bone of lower limb"
,,"CAN_COD","Codes for relevant malignancies","94217008",,"Secondary malignant neoplasm of bone marrow"
,,"CAN_COD","Codes for relevant malignancies","94462009",,"Secondary malignant neoplasm of paraganglion"
,,"CAN_COD","Codes for relevant malignancies","94478006",,"Secondary malignant neoplasm of pelvic bone"
,,"CAN_COD","Codes for relevant malignancies","94485005",,"Secondary malignant neoplasm of perirenal tissue"
,,"CAN_COD","Codes for relevant malignancies","94484009",,"Secondary malignant neoplasm of pericardium"
,,"CAN_COD","Codes for relevant malignancies","94483003",,"Secondary malignant neoplasm of perianal skin"
,,"CAN_COD","Codes for relevant malignancies","94482008",,"Secondary malignant neoplasm of periadrenal tissue"
,,"CAN_COD","Codes for relevant malignancies","94177007",,"Secondary malignant neoplasm of areola of male breast"
,,"CAN_COD","Codes for relevant malignancies","94179005",,"Secondary malignant neoplasm of ascending colon"
,,"CAN_COD","Codes for relevant malignancies","94180008",,"Secondary malignant neoplasm of axilla"
,,"CAN_COD","Codes for relevant malignancies","94469000",,"Secondary malignant neoplasm of paravaginal lymph nodes"
,,"CAN_COD","Codes for relevant malignancies","94479003",,"Secondary malignant neoplasm of pelvic peritoneum"
,,"CAN_COD","Codes for relevant malignancies","94233006",,"Secondary malignant neoplasm of bronchus"
,,"CAN_COD","Codes for relevant malignancies","94182000",,"Secondary malignant neoplasm of axillary tail of female breast"
,,"CAN_COD","Codes for relevant malignancies","94476005",,"Secondary malignant neoplasm of patella"
,,"CAN_COD","Codes for relevant malignancies","94183005",,"Secondary malignant neoplasm of back"
,,"CAN_COD","Codes for relevant malignancies","94184004",,"Secondary malignant neoplasm of base of tongue"
,,"CAN_COD","Codes for relevant malignancies","94474008",,"Secondary malignant neoplasm of parotid gland"
,,"CAN_COD","Codes for relevant malignancies","94473002",,"Secondary malignant neoplasm of parietal pleura"
,,"CAN_COD","Codes for relevant malignancies","94472007",,"Secondary malignant neoplasm of parietal peritoneum"
,,"CAN_COD","Codes for relevant malignancies","94480000",,"Secondary malignant neoplasm of pelvis"
,,"CAN_COD","Codes for relevant malignancies","94329002",,"Secondary malignant neoplasm of hilus of lung"
,,"CAN_COD","Codes for relevant malignancies","94321004",,"Secondary malignant neoplasm of gum"
,,"CAN_COD","Codes for relevant malignancies","94281004",,"Secondary malignant neoplasm of endometrium"
,,"CAN_COD","Codes for relevant malignancies","94282006",,"Secondary malignant neoplasm of epicardium"
,,"CAN_COD","Codes for relevant malignancies","94283001",,"Secondary malignant neoplasm of epididymis"
,,"CAN_COD","Codes for relevant malignancies","94334003",,"Secondary malignant neoplasm of hypopharynx"
,,"CAN_COD","Codes for relevant malignancies","94333009",,"Secondary malignant neoplasm of hypopharyngeal aspect of interarytenoid fold"
,,"CAN_COD","Codes for relevant malignancies","94332004",,"Secondary malignant neoplasm of hypopharyngeal aspect of aryepiglottic fold"
,,"CAN_COD","Codes for relevant malignancies","94337005",,"Secondary malignant neoplasm of ilium"
,,"CAN_COD","Codes for relevant malignancies","94330007",,"Secondary malignant neoplasm of hypogastric lymph nodes"
,,"CAN_COD","Codes for relevant malignancies","94279001",,"Secondary malignant neoplasm of endocervix"
,,"CAN_COD","Codes for relevant malignancies","94328005",,"Secondary malignant neoplasm of hepatic flexure of colon"
,,"CAN_COD","Codes for relevant malignancies","94327000",,"Secondary malignant neoplasm of heart"
,,"CAN_COD","Codes for relevant malignancies","94326009",,"Secondary malignant neoplasm of head"
,,"CAN_COD","Codes for relevant malignancies","94325008",,"Secondary malignant neoplasm of head of pancreas"
,,"CAN_COD","Codes for relevant malignancies","94324007",,"Secondary malignant neoplasm of hard palate"
,,"CAN_COD","Codes for relevant malignancies","94323001",,"Secondary malignant neoplasm of hand"
,,"CAN_COD","Codes for relevant malignancies","94231008",,"Secondary malignant neoplasm of bronchus of right middle lobe"
,,"CAN_COD","Codes for relevant malignancies","94331006",,"Secondary malignant neoplasm of hypoglossal nerve"
,,"CAN_COD","Codes for relevant malignancies","94276008",,"Secondary malignant neoplasm of ectopic female breast tissue"
