medcodeid,term,qofclusterid,qofclusterdesc,qofsnomedctconceptid,snomedctdescriptionid
455641000006112,Acute anterolateral infarction,CHD_COD,Coronary heart disease (CHD) codes,70211005,1233238016
455651000006114,Acute anteroseptal infarction,CHD_COD,Coronary heart disease (CHD) codes,62695002,104192010
457531000006110,Acute inferolateral infarction,CHD_COD,Coronary heart disease (CHD) codes,65547006,1232697013
458410010,Post infarct angina,CHD_COD,Coronary heart disease (CHD) codes,314116003,458410010
459487012,Refractory angina,CHD_COD,Coronary heart disease (CHD) codes,315025001,459487012
459488019,Transient myocardial ischaemia,CHD_COD,Coronary heart disease (CHD) codes,315026000,459488019
459859010,Asymptomatic coronary heart disease,CHD_COD,Coronary heart disease (CHD) codes,315348000,459859010
460681000006116,Acute transmural myocardial infarction of unspecif site,CHD_COD,Coronary heart disease (CHD) codes,57054005,94884017
460686018,[V]Presence of aortocoronary bypass graft,CHD_COD,Coronary heart disease (CHD) codes,399261000,1767181012
4775881000006117,True posterior wall infarction,CHD_COD,Coronary heart disease (CHD) codes,194802003,2535851011
4775891000006119,Acute myocardial infarction of atrium,CHD_COD,Coronary heart disease (CHD) codes,194809007,2470032018
4775931000006111,Aborted myocardial infarction,CHD_COD,Coronary heart disease (CHD) codes,194821006,2619483012
4775971000006114,Angina,CHD_COD,Coronary heart disease (CHD) codes,194828000,299755016
4775981000006112,Cardiac angina,CHD_COD,Coronary heart disease (CHD) codes,194828000,299756015
4776001000006111,Anginal syndrome,CHD_COD,Coronary heart disease (CHD) codes,194828000,299759010
4776011000006114,AP - Angina pectoris,CHD_COD,Coronary heart disease (CHD) codes,194828000,299760017
4776021000006118,Ischemic heart disease - angina,CHD_COD,Coronary heart disease (CHD) codes,194828000,299761018
4776031000006115,Ischaemic heart disease - angina,CHD_COD,Coronary heart disease (CHD) codes,194828000,299762013
4776051000006110,Single vessel coronary artery disease,CHD_COD,Coronary heart disease (CHD) codes,194842008,2535853014
4776071000006117,Two coronary vessel disease,CHD_COD,Coronary heart disease (CHD) codes,194843003,299784013
4776081000006119,Double vessel coronary artery disease,CHD_COD,Coronary heart disease (CHD) codes,194843003,2535854015
4776121000006117,Generalised ischaemic myocardial dysfunction,CHD_COD,Coronary heart disease (CHD) codes,194849004,299795019
4776131000006119,Generalized ischemic myocardial dysfunction,CHD_COD,Coronary heart disease (CHD) codes,194849004,299793014
4776141000006112,Ischemic cardiomyopathy,CHD_COD,Coronary heart disease (CHD) codes,194849004,299794015
4776171000006116,Reinfarction of myocardium,CHD_COD,Coronary heart disease (CHD) codes,194856005,299809013
4776221000006110,Hemopericardium as current complication following acute myocardial infarction,CHD_COD,Coronary heart disease (CHD) codes,194862000,299817017
4776251000006118,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction,CHD_COD,Coronary heart disease (CHD) codes,194865003,299820013
482811000006113,Angina at rest,CHD_COD,Coronary heart disease (CHD) codes,59021001,498328016
482941000006119,Angina pectoris NOS,CHD_COD,Coronary heart disease (CHD) codes,194828000,299757012
494260016,Impending infarction,CHD_COD,Coronary heart disease (CHD) codes,25106000,42087013
494261017,Worsening angina,CHD_COD,Coronary heart disease (CHD) codes,4557003,494261017
4943331000006119,Ischemic chest pain,CHD_COD,Coronary heart disease (CHD) codes,225566008,338973018
494438016,Subendocardial ischaemia,CHD_COD,Coronary heart disease (CHD) codes,46109009,494438016
498031000006112,Atrial septal defect/curr comp folow acut myocardal infarct,CHD_COD,Coronary heart disease (CHD) codes,194863005,299818010
498328016,Angina at rest,CHD_COD,Coronary heart disease (CHD) codes,59021001,498328016
5056201000006111,Triple vessel coronary artery disease,CHD_COD,Coronary heart disease (CHD) codes,233817007,2535923015
5056241000006113,Silent myocardial ischemia,CHD_COD,Coronary heart disease (CHD) codes,233823002,350353011
5056251000006110,Asymptomatic ischemia,CHD_COD,Coronary heart disease (CHD) codes,233823002,350355016
5056261000006112,Asymptomatic ischaemia,CHD_COD,Coronary heart disease (CHD) codes,233823002,350356015
5056461000006113,MI - Silent myocardial infarction,CHD_COD,Coronary heart disease (CHD) codes,233843008,350377017
5056501000006113,Post-infarction ventricular septal defect,CHD_COD,Coronary heart disease (CHD) codes,233846000,350382012
5056521000006115,Defect of ventricular septum following myocardial infarction,CHD_COD,Coronary heart disease (CHD) codes,233846000,3333538017
537751000006115,Cardiac rupture following myocardial infarction (MI),CHD_COD,Coronary heart disease (CHD) codes,233847009,350383019
543291000006110,Certain current complication follow acute myocardial infarct,CHD_COD,Coronary heart disease (CHD) codes,371068009,1209776017
5887611000006117,Exercise-induced angina,CHD_COD,Coronary heart disease (CHD) codes,300995000,442203016
5887631000006111,Exertional angina,CHD_COD,Coronary heart disease (CHD) codes,300995000,442205011
5887641000006118,Angina of effort,CHD_COD,Coronary heart disease (CHD) codes,300995000,442206012
5935321000006111,Acute Q wave myocardial infarction,CHD_COD,Coronary heart disease (CHD) codes,304914007,447323012
595731000006114,Coronary atherosclerosis,CHD_COD,Coronary heart disease (CHD) codes,443502000,2842265012
5974481000006116,History of myocardial infarction in last year,CHD_COD,Coronary heart disease (CHD) codes,308065005,2986726013
59952018,Nocturnal angina,CHD_COD,Coronary heart disease (CHD) codes,35928006,59952018
6053071000006117,Transient myocardial ischemia,CHD_COD,Coronary heart disease (CHD) codes,315026000,459489010
6056601000006112,DIGAMI - diabetes mellitus insulin-glucose infusion in acute myocardial infarction,CHD_COD,Coronary heart disease (CHD) codes,315287002,459792010
616081000006113,Diab mellit insulin-glucose infus acute myocardial infarct,CHD_COD,Coronary heart disease (CHD) codes,315287002,459791015
6348651000006112,Myocardial infarction with complication,CHD_COD,Coronary heart disease (CHD) codes,371068009,6348651000006112
6546111000006118,ACS - Acute coronary syndrome,CHD_COD,Coronary heart disease (CHD) codes,394659003,2579561010
6601121000006118,Coronary artery thrombosis,CHD_COD,Coronary heart disease (CHD) codes,398274000,1777817018
6601131000006115,CT - Coronary thrombosis,CHD_COD,Coronary heart disease (CHD) codes,398274000,1786196012
6619191000006115,Past history of myocardial infarction,CHD_COD,Coronary heart disease (CHD) codes,399211009,1786753012
6619201000006117,Previous myocardial infarction,CHD_COD,Coronary heart disease (CHD) codes,399211009,545891000000115
6619881000006110,History of coronary artery bypass grafting,CHD_COD,Coronary heart disease (CHD) codes,399261000,6619881000006110
6619891000006113,Past history of coronary artery bypass grafting,CHD_COD,Coronary heart disease (CHD) codes,399261000,1786776010
6651221000006117,STEMI - ST elevation myocardial infarction,CHD_COD,Coronary heart disease (CHD) codes,401303003,2840840013
6651391000006114,NSTEMI - Non-ST segment elevation MI,CHD_COD,Coronary heart disease (CHD) codes,401314000,1787486017
67081000006119,Ventric septal defect/curr comp fol acut myocardal infarctn,CHD_COD,Coronary heart disease (CHD) codes,233846000,350381017
682481000006118,Myocardial infarction aborted,CHD_COD,Coronary heart disease (CHD) codes,194821006,2619484018
6847761000006118,Chronic ischemic heart disease,CHD_COD,Coronary heart disease (CHD) codes,413838009,2534671011
6847871000006116,Chronic myocardial ischemia,CHD_COD,Coronary heart disease (CHD) codes,413844008,2534673014
6860251000006115,Ischemic heart disease,CHD_COD,Coronary heart disease (CHD) codes,414545008,2534663012
6860261000006118,IHD - Ischemic heart disease,CHD_COD,Coronary heart disease (CHD) codes,414545008,2537479013
72571000006115,Unstable angina,CHD_COD,Coronary heart disease (CHD) codes,4557003,7845011
7278491000006111,Atherosclerosis of coronary artery,CHD_COD,Coronary heart disease (CHD) codes,443502000,2842574013
